epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.6374,0.77648,0.49736,0.92362,0.82128,0.84646,0.85087,0.59594,1.02719,0.66475,1.07979,0.000456863,0.000456863,0.000456863
43,75.4075,0.77722,0.50583,0.92379,0.82543,0.86299,0.85997,0.58787,1.00804,0.6603,1.05326,0.00044925,0.00044925,0.00044925
44,77.1303,0.81086,0.52186,0.91973,0.82452,0.83105,0.85286,0.5699,1.04757,0.67571,1.08813,0.000441637,0.000441637,0.000441637
45,78.8582,0.8129,0.5057,0.92993,0.87226,0.8379,0.8649,0.59683,1.02979,0.66572,1.0742,0.000434024,0.000434024,0.000434024
46,80.6418,0.7858,0.48268,0.90817,0.87105,0.81362,0.86076,0.58677,1.02884,0.6869,1.07063,0.000426411,0.000426411,0.000426411
47,82.3683,0.78449,0.48294,0.91099,0.87419,0.81836,0.87088,0.59833,1.04571,0.67922,1.07735,0.000418797,0.000418797,0.000418797
48,84.1573,0.77368,0.48544,0.91631,0.8743,0.83087,0.87527,0.59747,1.01615,0.66723,1.05073,0.000411184,0.000411184,0.000411184
49,85.8899,0.73295,0.46399,0.90524,0.86731,0.78168,0.8601,0.59556,1.00329,0.67066,1.04808,0.000403571,0.000403571,0.000403571
50,87.6122,0.7529,0.46253,0.90234,0.87665,0.83142,0.86675,0.59581,0.99692,0.66361,1.03307,0.000395958,0.000395958,0.000395958
51,89.3351,0.73471,0.46273,0.89825,0.85305,0.83674,0.86898,0.60842,1.00997,0.67056,1.04348,0.000388345,0.000388345,0.000388345
52,91.1176,0.73903,0.47494,0.90864,0.82493,0.85506,0.85596,0.60103,0.98416,0.65859,1.04313,0.000380732,0.000380732,0.000380732
53,92.846,0.7268,0.4617,0.90772,0.81755,0.8355,0.84818,0.59701,0.98594,0.66276,1.03535,0.000373119,0.000373119,0.000373119
54,94.5879,0.72015,0.45814,0.90237,0.85158,0.80308,0.85958,0.60044,0.99417,0.6442,1.04018,0.000365506,0.000365506,0.000365506
55,96.3007,0.70878,0.44523,0.89258,0.85033,0.84174,0.8547,0.59705,0.98692,0.63522,1.04382,0.000357893,0.000357893,0.000357893
56,98.0295,0.73044,0.45182,0.88179,0.85562,0.82945,0.84897,0.59669,0.96021,0.63775,1.04097,0.00035028,0.00035028,0.00035028
57,99.75,0.70708,0.45798,0.89948,0.87458,0.83966,0.8529,0.59657,0.99569,0.64138,1.04857,0.000342666,0.000342666,0.000342666
58,101.475,0.70349,0.44976,0.89496,0.86194,0.83537,0.85039,0.60076,0.99452,0.65685,1.05697,0.000335053,0.000335053,0.000335053
59,103.191,0.7294,0.4475,0.89938,0.82948,0.85638,0.85595,0.60097,0.98106,0.6724,1.05132,0.00032744,0.00032744,0.00032744
60,104.92,0.72549,0.45978,0.90362,0.82781,0.86962,0.8578,0.60628,0.97537,0.65571,1.05081,0.000319827,0.000319827,0.000319827
61,106.632,0.70902,0.4521,0.89311,0.8634,0.85328,0.86321,0.6138,0.96435,0.64443,1.04982,0.000312214,0.000312214,0.000312214
62,108.411,0.69557,0.43755,0.90342,0.85592,0.85883,0.86886,0.61978,0.96368,0.63812,1.04618,0.000304601,0.000304601,0.000304601
63,110.186,0.69207,0.44197,0.90056,0.86286,0.85384,0.86124,0.61075,0.98069,0.63941,1.05554,0.000296988,0.000296988,0.000296988
64,111.925,0.6867,0.44145,0.89084,0.84104,0.84474,0.85439,0.61055,0.97223,0.63191,1.05223,0.000289375,0.000289375,0.000289375
65,113.661,0.68021,0.43461,0.90056,0.82543,0.85713,0.84582,0.59833,0.95753,0.63567,1.04424,0.000281762,0.000281762,0.000281762
66,115.38,0.69061,0.43007,0.88311,0.86736,0.83769,0.8604,0.61161,0.97255,0.6465,1.04441,0.000274148,0.000274148,0.000274148
