epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.66796,1.76643,4.4054,1.56318,0.55748,0.06973,0.09119,0.05202,1.36609,3.30917,1.30882,5.383e-05,5.383e-05,5.383e-05
2,3.76201,1.45186,2.7149,1.29771,0.26783,0.19133,0.20101,0.13619,1.24436,1.87773,1.24455,0.000114208,0.000114208,0.000114208
3,5.65156,1.34031,1.5373,1.22177,0.64334,0.23484,0.27169,0.18041,1.26419,1.28885,1.23196,0.000173368,0.000173368,0.000173368
4,7.55448,1.38509,1.52574,1.25778,0.60986,0.35085,0.33848,0.2178,1.20367,1.31167,1.18973,0.00023131,0.00023131,0.00023131
5,9.41674,1.21965,1.15456,1.13043,0.7203,0.47338,0.4541,0.28369,1.15706,1.16657,1.14389,0.000288034,0.000288034,0.000288034
6,11.2716,1.23293,1.01958,1.13415,0.63894,0.50744,0.50082,0.31145,1.11963,1.2216,1.12478,0.000343539,0.000343539,0.000343539
7,13.1706,1.16999,0.99726,1.12106,0.40445,0.65278,0.55095,0.35007,1.14327,1.06358,1.12813,0.000397827,0.000397827,0.000397827
8,15.044,1.11041,0.9359,1.09004,0.56223,0.66206,0.59177,0.38726,1.13176,1.04827,1.11705,0.000450896,0.000450896,0.000450896
9,16.8676,1.10951,0.89037,1.07425,0.55165,0.71262,0.6412,0.39496,1.14169,1.0943,1.12701,0.000502748,0.000502748,0.000502748
10,18.7569,1.13435,0.9263,1.09644,0.50292,0.71459,0.66598,0.40871,1.11383,1.03326,1.09084,0.000553381,0.000553381,0.000553381
11,20.5709,1.06877,0.79154,1.02664,0.74314,0.61101,0.67926,0.43968,1.13172,1.00348,1.10517,0.000602796,0.000602796,0.000602796
12,22.3939,1.08986,0.83392,1.07223,0.59129,0.71203,0.68176,0.43828,1.14814,1.03669,1.12392,0.000650993,0.000650993,0.000650993
