epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,25.2704,0.44916,10.4791,0.53969,0.35479,1.01484,0.99453,1,0.995,0.91424,0,0,0,0,0.5572,11.0399,0.67182,0.35323,0.86789,0.00085766,0.00085766,0.00085766
32,26.0541,0.42266,10.5574,0.55904,0.31215,0.97763,0.88477,1,0.97682,0.79171,0,0,0,0,0.76477,10.8935,0.65698,0.61166,1.07652,0.000873306,0.000873306,0.000873306
33,26.8615,0.38171,9.61562,0.53835,0.31554,0.96569,0.97992,1,0.995,0.83013,0,0,0,0,0.62154,10.8554,0.6607,0.65916,1.03782,0.00088816,0.00088816,0.00088816
34,27.6507,0.47506,10.4565,0.5347,0.42074,1.03643,0.97992,1,0.995,0.83013,0,0,0,0,0.62154,10.8554,0.6607,0.65916,1.03782,0.000902222,0.000902222,0.000902222
35,28.4484,0.42704,9.77783,0.52876,0.36593,0.99815,0.99456,1,0.995,0.91676,0,0,0,0,0.52878,11.1452,0.69349,0.38991,0.83406,0.000915492,0.000915492,0.000915492
36,29.2701,0.4237,9.41765,0.51612,0.36849,1.01197,0.99271,1,0.995,0.93125,0,0,0,0,0.62433,11.266,0.69887,0.43321,0.84706,0.00092797,0.00092797,0.00092797
37,30.0712,0.43047,10.3298,0.52734,0.33277,0.9429,0.99271,1,0.995,0.93125,0,0,0,0,0.62433,11.266,0.69887,0.43321,0.84706,0.000939656,0.000939656,0.000939656
38,30.89,0.45644,9.50099,0.48682,0.3874,1.03413,0.98119,1,0.995,0.9177,0,0,0,0,0.69664,11.3263,0.72254,0.63441,0.93672,0.00095055,0.00095055,0.00095055
39,31.7118,0.36652,10.2435,0.52696,0.32679,0.93439,0.9012,0.91316,0.98591,0.55368,0,0,0,0,1.31524,11.2544,0.78476,1.77834,1.66042,0.000960652,0.000960652,0.000960652
40,32.5081,0.38682,10.0344,0.54125,0.32639,0.97355,0.9012,0.91316,0.98591,0.55368,0,0,0,0,1.31524,11.2544,0.78476,1.77834,1.66042,0.000969962,0.000969962,0.000969962
41,33.3142,0.36612,10.5629,0.51301,0.33233,0.95002,0.96023,0.9,0.97833,0.38254,0,0,0,0,1.88614,11.3759,0.79252,2.48859,2.15717,0.00097848,0.00097848,0.00097848
42,34.1366,0.3602,9.88955,0.52165,0.31135,0.95119,0.9944,1,0.995,0.96909,0,0,0,0,0.47876,11.4092,0.83179,0.41566,0.76196,0.000986206,0.000986206,0.000986206
43,34.9919,0.39812,10.4177,0.49012,0.32064,0.93593,0.9944,1,0.995,0.96909,0,0,0,0,0.47876,11.4092,0.83179,0.41566,0.76196,0.00099314,0.00099314,0.00099314
44,35.8583,0.40329,10.0823,0.48156,0.31505,0.97508,0.98519,1,0.995,0.93382,0,0,0,0,0.49165,11.2876,0.90294,0.54894,0.79674,0.000999282,0.000999282,0.000999282
45,36.6437,0.39292,10.4993,0.48019,0.31009,0.97902,0.98519,1,0.995,0.93382,0,0,0,0,0.49165,11.2876,0.90294,0.54894,0.79674,0.00100463,0.00100463,0.00100463
46,37.4594,0.4273,10.4128,0.49851,0.34032,1.00088,0.99297,1,0.995,0.91647,0,0,0,0,0.54838,11.2635,0.85089,0.48613,0.91413,0.00100919,0.00100919,0.00100919
