epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,22.6975,0.69441,9.129,0.52847,0.55436,1.16868,1,1,0.995,0.79635,0,0,0,0,0.83759,11.6272,0.57096,1.5537,1.23201,0.00085766,0.00085766,0.00085766
32,23.4173,0.64591,10.0879,0.54507,0.50861,1.06573,0.6677,1,0.995,0.5127,0,0,0,0,1.64524,11.6369,0.56756,2.31463,2.39275,0.000873306,0.000873306,0.000873306
33,24.1677,0.67456,9.60858,0.54262,0.51446,1.15505,0.9595,1,0.995,0.57349,0,0,0,0,1.3139,11.5774,0.5961,2.28402,1.78949,0.00088816,0.00088816,0.00088816
34,24.8526,0.65547,9.77636,0.51534,0.51346,1.18779,0.9595,1,0.995,0.57349,0,0,0,0,1.3139,11.5774,0.5961,2.28402,1.78949,0.000902222,0.000902222,0.000902222
35,25.5522,0.66785,9.45284,0.50791,0.50534,1.14116,0.95265,1,0.995,0.52371,0,0,0,0,1.24643,11.6635,0.59507,3.3926,1.66103,0.000915492,0.000915492,0.000915492
36,26.2776,0.75363,9.55575,0.50704,0.54014,1.25601,0.92579,1,0.995,0.62208,0,0,0,0,1.55377,10.6897,0.54988,2.1037,2.14843,0.00092797,0.00092797,0.00092797
37,26.9894,0.7542,10.4071,0.50258,0.56213,1.15659,0.92579,1,0.995,0.62208,0,0,0,0,1.55377,10.6897,0.54988,2.1037,2.14843,0.000939656,0.000939656,0.000939656
38,27.6851,0.71424,9.54718,0.51225,0.56511,1.19981,0.73909,1,0.995,0.398,0,0,0,0,2.58169,11.0209,0.54127,1.78734,2.67193,0.00095055,0.00095055,0.00095055
39,28.4094,0.67752,10.4418,0.48103,0.49524,1.10276,0.96949,1,0.995,0.25474,0,0,0,0,2.5634,10.918,0.55731,2.66218,3.41035,0.000960652,0.000960652,0.000960652
40,29.122,0.59163,9.8531,0.49234,0.46236,1.08785,0.96949,1,0.995,0.25474,0,0,0,0,2.5634,10.918,0.55731,2.66218,3.41035,0.000969962,0.000969962,0.000969962
41,29.8484,0.6229,9.25135,0.49244,0.4654,1.08244,0.63218,1,0.995,0.42297,0,0,0,0,2.51544,10.6674,0.54788,4.81027,3.50354,0.00097848,0.00097848,0.00097848
42,30.5674,0.61272,9.26556,0.46981,0.4703,1.07915,0.13641,0.5,0.26363,0.10141,0,0,0,0,3.17014,11.5516,0.60017,6.38029,5.19167,0.000986206,0.000986206,0.000986206
43,31.2661,0.78433,9.19165,0.46949,0.64925,1.16249,0.13641,0.5,0.26363,0.10141,0,0,0,0,3.17014,11.5516,0.60017,6.38029,5.19167,0.00099314,0.00099314,0.00099314
44,31.9955,0.65872,8.88898,0.47334,0.56948,1.12754,0.0246,0.5,0.01965,0.00196,0,0,0,0,4.44453,11.611,0.5963,7.99226,6.08352,0.000999282,0.000999282,0.000999282
45,32.6798,0.66812,9.44589,0.45693,0.4701,1.10652,0.0246,0.5,0.01965,0.00196,0,0,0,0,4.44453,11.611,0.5963,7.99226,6.08352,0.00100463,0.00100463,0.00100463
46,33.389,0.72826,9.75911,0.46928,0.50262,1.12466,0.05723,0.5,0.03645,0.02187,0,0,0,0,3.58217,10.9075,0.54282,13.4818,4.64358,0.00100919,0.00100919,0.00100919
47,34.0829,0.64861,9.99444,0.46702,0.48284,1.09603,0.05723,0.5,0.03645,0.02187,0,0,0,0,3.58217,10.9075,0.54282,13.4818,4.64358,0.00101296,0.00101296,0.00101296
48,34.7985,0.58821,9.59364,0.4572,0.43137,1.08761,0.29072,0.5,0.3475,0.04629,0,0,0,0,3.76523,10.7649,0.52089,4.41686,5.03328,0.00101593,0.00101593,0.00101593
49,35.4851,0.67132,9.58946,0.47848,0.51979,1.08427,0.29072,0.5,0.3475,0.04629,0,0,0,0,3.76523,10.7649,0.52089,4.41686,5.03328,0.00101811,0.00101811,0.00101811
50,36.2035,0.5887,9.16733,0.4388,0.48061,1.076,0.6148,1,0.995,0.293,0,0,0,0,2.45266,10.2944,0.50873,6.71654,3.10148,0.0010195,0.0010195,0.0010195
