epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.804473,2.61773,10.0834,0.71522,2.42728,2.667,0.29374,0.42857,0.19053,0.0311,0,0,0,0,3.51908,10.9701,0.69431,5.77637,3.02646,2e-05,2e-05,2e-05
2,1.45386,2.8934,9.86487,0.71292,2.80384,2.86348,0.29131,0.42857,0.18728,0.02964,0,0,0,0,3.50304,10.9293,0.69432,5.4532,3.00193,5.9406e-05,5.9406e-05,5.9406e-05
3,2.06186,2.69677,9.68406,0.71155,2.67445,2.68089,0.41583,0.57143,0.40381,0.21065,0,0,0,0,2.13546,10.7754,0.69358,3.14352,2.19491,9.802e-05,9.802e-05,9.802e-05
4,2.87626,1.68235,8.85067,0.69915,1.38275,2.0269,0.90512,0.42857,0.61415,0.30794,0,0,0,0,1.83457,10.7774,0.69226,1.42953,2.02166,0.000135842,0.000135842,0.000135842
5,3.6881,1.70049,10.2776,0.69395,1.41264,1.75416,0.47306,0.57143,0.60248,0.33328,0,0,0,0,1.61257,11.0362,0.69072,1.53501,1.80703,0.000172872,0.000172872,0.000172872
6,4.48462,1.0367,9.63527,0.68559,0.85205,1.21935,0.74076,1,0.84367,0.40295,0,0,0,0,1.34989,11.1521,0.68783,1.62621,1.46558,0.00020911,0.00020911,0.00020911
7,5.29508,0.67071,9.63741,0.6686,0.66287,1.20529,0.93293,1,0.995,0.80618,0,0,0,0,0.9194,11.1966,0.68455,0.90383,1.04254,0.000244556,0.000244556,0.000244556
8,6.09557,0.64417,9.8976,0.6679,0.61051,1.1227,0.83509,1,0.96,0.83042,0,0,0,0,0.83996,11.1174,0.68297,0.81451,1.0382,0.00027921,0.00027921,0.00027921
9,6.85888,0.67299,9.18302,0.64458,0.56312,1.08795,0.75392,0.85714,0.94389,0.79132,0,0,0,0,0.8423,11.1291,0.68184,0.92686,1.00952,0.000313072,0.000313072,0.000313072
10,7.57493,0.60869,10.4676,0.65304,0.52868,1.07206,0.69924,1,0.89157,0.67486,0,0,0,0,0.81552,11.1041,0.67657,0.92583,1.00418,0.000346142,0.000346142,0.000346142
11,8.28631,0.55121,10.3436,0.65243,0.4789,1.06326,0.84993,0.85714,0.91625,0.61099,0,0,0,0,0.7939,11.0957,0.67404,1.27842,1.06549,0.00037842,0.00037842,0.00037842
12,8.99684,0.54147,9.39645,0.64096,0.4876,1.08475,0.54193,0.85714,0.75153,0.38075,0,0,0,0,1.23055,11.2157,0.67212,2.27122,1.49238,0.000409906,0.000409906,0.000409906
13,9.70932,0.60075,9.10878,0.64042,0.46847,1.01994,0.47719,0.57143,0.61005,0.28301,0,0,0,0,1.73341,11.24,0.66965,2.0396,1.95417,0.0004406,0.0004406,0.0004406
14,10.4166,0.66972,9.18408,0.62664,0.52778,1.09588,0.49184,0.85714,0.73419,0.29497,0,0,0,0,2.15613,11.2177,0.67979,2.05393,2.324,0.000470502,0.000470502,0.000470502
15,11.1901,0.56723,9.49106,0.62046,0.46435,1.05672,0.73679,0.85714,0.87625,0.23139,0,0,0,0,2.83636,11.1285,0.67965,1.66143,2.73957,0.000499612,0.000499612,0.000499612
16,11.906,0.52251,9.01127,0.62284,0.46907,1.05527,0.53505,0.71429,0.50997,0.09132,0,0,0,0,3.01518,10.9714,0.67537,1.79188,2.79589,0.00052793,0.00052793,0.00052793
17,12.6174,0.57868,9.51392,0.63107,0.44288,1.12287,0.24837,0.57143,0.2181,0.0623,0,0,0,0,3.29158,10.7668,0.66832,2.19021,2.89812,0.000555456,0.000555456,0.000555456
18,13.3427,0.67373,10.2903,0.61936,0.5178,1.11428,1,0.98936,0.995,0.17265,0,0,0,0,2.79753,10.7761,0.67196,1.97844,2.69962,0.00058219,0.00058219,0.00058219
19,14.0532,0.61289,8.94091,0.61932,0.52847,1.05518,0.76592,0.85714,0.94389,0.41982,0,0,0,0,1.81248,10.8423,0.66952,1.36576,1.97535,0.000608132,0.000608132,0.000608132
20,14.8117,0.51594,10.0561,0.61479,0.44381,1.04538,0.98112,1,0.995,0.61252,0,0,0,0,1.27538,10.7181,0.66745,0.78443,1.6866,0.000633282,0.000633282,0.000633282
21,15.5736,0.6434,8.88488,0.61174,0.51367,1.09573,0.86845,1,0.995,0.57564,0,0,0,0,1.21622,10.6359,0.65917,0.68816,1.73187,0.00065764,0.00065764,0.00065764
22,16.3284,0.61108,8.87687,0.59254,0.51218,1.14236,0.8525,1,0.995,0.63997,0,0,0,0,1.29266,10.7941,0.64939,0.75057,1.89004,0.000681206,0.000681206,0.000681206
23,17.0663,0.60502,9.32236,0.59973,0.54804,1.05359,0.86613,1,0.9775,0.67997,0,0,0,0,1.23692,10.6787,0.65349,0.77076,1.63808,0.00070398,0.00070398,0.00070398
24,17.8071,0.57201,10.1079,0.59529,0.43624,1.02099,0.84488,1,0.9775,0.76612,0,0,0,0,0.99644,10.6074,0.65336,0.76427,1.34562,0.000725962,0.000725962,0.000725962
25,18.5223,0.60278,9.96521,0.58628,0.48742,1.04469,0.96141,0.85714,0.9775,0.71106,0,0,0,0,1.02895,10.6341,0.65401,0.76514,1.21348,0.000747152,0.000747152,0.000747152
